id,structured_match,final_match,source,cheap_score,routing_confidence_threshold
B00008JVTT,True,True,expensive,,
B00BTGJH6M,True,False,expensive,,
B00CBP4IW8,True,True,expensive,,
B00E1DA2KK,True,True,expensive,,
B00IOJBKIA,True,True,expensive,,
B00IZ7ZFYG,True,True,expensive,,
B00JH7AUFC,True,True,expensive,,
B00JZ9M53M,True,False,expensive,,
B00KIULQKK,True,False,expensive,,
B00MNZGLP8,True,False,expensive,,
B00MQS81AA,True,False,expensive,,
B00NHE2DLK,True,True,expensive,,
B00RIWB12O,True,False,expensive,,
B00RZ5IDMU,True,False,expensive,,
B00SXU0J7I,True,False,expensive,,
B00VN22FQQ,True,False,expensive,,
B00W1F4HCY,True,True,expensive,,
B00W8THG1W,True,False,expensive,,
B010S6CL9I,True,False,expensive,,
B011QXRAJS,True,True,expensive,,
B0144O7Q72,True,False,expensive,,
B01532ZLZS,True,False,expensive,,
B015J4T7SW,True,False,expensive,,
B0163CFZSK,True,True,expensive,,
B0165GAA5M,True,True,expensive,,
B0181SEKKI,True,True,expensive,,
B01A0SRMJI,True,True,expensive,,
B01AHUVBSC,True,True,expensive,,
B01AUNUCDG,True,False,expensive,,
B01C1MXRWM,True,False,expensive,,
B01CQRZ9J6,True,True,expensive,,
B01CU25FFU,True,False,expensive,,
B01CXUXE84,True,False,expensive,,
B01D00HI10,True,False,expensive,,
B01DOKD9Y6,True,True,expensive,,
B01DSTFLKI,True,False,expensive,,
B01DTLCY5K,True,False,expensive,,
B01DY6OPCK,True,True,expensive,,
B01DYAU1SS,True,True,expensive,,
B01E16S7KI,True,False,expensive,,
B01EC81U8G,True,False,expensive,,
B01EHI4J02,True,False,expensive,,
B01EOBHCH4,True,False,expensive,,
B01F1Q3MWK,True,True,expensive,,
B01FDKIVRA,True,False,expensive,,
B01FHSQ6D4,True,False,expensive,,
B01G6YLCEQ,True,False,expensive,,
B01GKKKCKG,True,False,expensive,,
B01GW6X1O2,True,True,expensive,,
B01HGTJ562,True,False,expensive,,
