id,structured_match,final_match,source,cheap_score,routing_confidence_threshold
B00008JVTT,True,True,calibration_expensive,-2.0,2.0
B00BTGJH6M,True,False,cheap,-2.0,2.0
B00CBP4IW8,True,True,cheap,2.0,2.0
B00E1DA2KK,True,True,calibration_expensive,2.0,2.0
B00IOJBKIA,True,True,cheap,2.0,2.0
B00IZ7ZFYG,True,True,calibration_expensive,2.0,2.0
B00JH7AUFC,True,True,cheap,2.0,2.0
B00JZ9M53M,True,False,cheap,-2.0,2.0
B00KIULQKK,True,False,calibration_expensive,-2.0,2.0
B00MNZGLP8,True,False,cheap,-2.0,2.0
B00MQS81AA,True,False,calibration_expensive,-2.0,2.0
B00NHE2DLK,True,True,cheap,2.0,2.0
B00RIWB12O,True,False,cheap,-2.0,2.0
B00RZ5IDMU,True,False,calibration_expensive,-2.0,2.0
B00SXU0J7I,True,True,cheap,2.0,2.0
B00VN22FQQ,True,False,calibration_expensive,-2.0,2.0
B00W1F4HCY,True,False,cheap,-2.0,2.0
B00W8THG1W,True,False,cheap,-2.0,2.0
B010S6CL9I,True,False,calibration_expensive,-2.0,2.0
B011QXRAJS,True,True,cheap,2.0,2.0
B0144O7Q72,True,False,cheap,-2.0,2.0
B01532ZLZS,True,False,calibration_expensive,-2.0,2.0
B015J4T7SW,True,False,cheap,-2.0,2.0
B0163CFZSK,True,True,calibration_expensive,2.0,2.0
B0165GAA5M,True,True,cheap,2.0,2.0
B0181SEKKI,True,True,cheap,2.0,2.0
B01A0SRMJI,True,True,calibration_expensive,2.0,2.0
B01AHUVBSC,True,False,cheap,-2.0,2.0
B01AUNUCDG,True,False,calibration_expensive,-2.0,2.0
B01C1MXRWM,True,False,cheap,-2.0,2.0
B01CQRZ9J6,True,True,cheap,2.0,2.0
B01CU25FFU,True,False,calibration_expensive,-2.0,2.0
B01CXUXE84,True,False,cheap,-2.0,2.0
B01D00HI10,True,False,cheap,-2.0,2.0
B01DOKD9Y6,True,True,calibration_expensive,2.0,2.0
B01DSTFLKI,True,False,cheap,-2.0,2.0
B01DTLCY5K,True,False,calibration_expensive,-2.0,2.0
B01DY6OPCK,True,True,cheap,2.0,2.0
B01DYAU1SS,True,True,cheap,2.0,2.0
B01E16S7KI,True,False,calibration_expensive,-2.0,2.0
B01EC81U8G,True,False,cheap,-2.0,2.0
B01EHI4J02,True,False,calibration_expensive,-2.0,2.0
B01EOBHCH4,True,False,cheap,-2.0,2.0
B01F1Q3MWK,True,True,cheap,2.0,2.0
B01FDKIVRA,True,False,calibration_expensive,-2.0,2.0
B01FHSQ6D4,True,False,cheap,-2.0,2.0
B01G6YLCEQ,True,False,calibration_expensive,-2.0,2.0
B01GKKKCKG,True,False,cheap,-2.0,2.0
B01GW6X1O2,True,True,cheap,2.0,2.0
B01HGTJ562,True,False,calibration_expensive,-2.0,2.0
