movie_id,source_row,title,year,runtime,genres,structured_match,semantic_label,ground_truth,annotation_source,evidence_excerpt,annotation_rationale
tt0069976,1112,Dillinger,1973,107,"Action,Biography,Crime",True,True,1,deterministic case-insensitive lexical policy over IMDb review text,"Near the beginning, after it's been established that outlaw John Dillinger (Warren Oates), is an egomaniacal rapist, another bandit of the 1930s is cornered in a farm house and surrounded by the FBI. Second-in-command Melvin Purvis (Ben Joh",Included: structured and semantic conditions match.
tt0072886,1813,Doc Savage: The Man of Bronze,1975,100,"Action,Adventure,Comedy",True,False,0,deterministic case-insensitive lexical policy over IMDb review text,"After having seen the movie the first question arising in my mind was: Is this supposed to be irony or not? After reading a few comments about the character Doc Savage and the comic series, I knew this film was not meant to be ironic. So, t",Excluded by semantic condition.
tt0073018,1227,French Connection II,1975,119,"Action,Crime,Drama",True,False,0,deterministic case-insensitive lexical policy over IMDb review text,What made the French Connection work so well was the relationship between Doyle (Hackman) and Russo (Scheider). In this catastrophe directed by Frankenheimer (who also brought us such gems as Raindeer Games and the Island of Dr. Moreau) the,Excluded by semantic condition.
tt0075648,1676,Airport '77,1977,114,"Action,Drama,Thriller",True,True,1,deterministic case-insensitive lexical policy over IMDb review text,"Although the production and Jerry Jameson's direction are definite improvements, ""Airport '77"" isn't much better than ""Airport 1975"": slick, commercial rubbish submerging (this time literally) a decent cast. Jack Lemmon is the pilot of a pa",Included: structured and semantic conditions match.
tt0080615,1741,Detour to Terror,1980,120,"Action,Drama",True,False,0,deterministic case-insensitive lexical policy over IMDb review text,"I haven't seen it in over twenty years. OJ was the bus driver, Arte Johnson was the tour guide, Lorenzo was the kidnapper.  Yea, Lorenzo looked very much at home as the villain, a natural. I think I watched it back then most for OJ, who I h",Excluded by semantic condition.
tt0085900,951,The Outsider,1983,103,"Action,Crime,Drama",True,False,0,deterministic case-insensitive lexical policy over IMDb review text,"Belmondo is a tough cop. He goes after a big-time drug dealer (played by Henry Silva, normally a great villain - see ""Sharky's Machine""; but here he is clearly dubbed, and because of that he lacks his usual charisma). He goes to the scuzzie",Excluded by semantic condition.
tt0101764,1461,Double Impact,1991,110,"Action,Crime",True,True,1,deterministic case-insensitive lexical policy over IMDb review text,Twin brothers separated at birth (Due to the deaths of their parents) reunite twenty five years later to avenge their parents and take back their million dollar tunnel. Double Impact runs at two hours long and basically adds no real approac,Included: structured and semantic conditions match.
tt0102422,908,McBain,1991,102,"Action,Crime,Drama",True,False,0,deterministic case-insensitive lexical policy over IMDb review text,"I purchased this film on the cheap in a sale, having read the back of the DVD case and assuming that either way I can't lose, it if was rubbish then no loss, if it was any good then bargain...  Then I watched it...  I am normally a fan of C",Excluded by semantic condition.
tt0107563,1512,The Meteor Man,1993,100,"Action,Comedy,Fantasy",True,False,0,deterministic case-insensitive lexical policy over IMDb review text,"Superhero movies pretty much always suck, and this is no exception. Its only redeeming quality is the fact the movie COULD have been even worse. I would put 'Batman & Robin' and 'Steel' above this movie, so yes it is that bad...  If your lo",Excluded by semantic condition.
tt0109890,375,The Getaway,1994,115,"Action,Adventure,Crime",True,False,0,deterministic case-insensitive lexical policy over IMDb review text,"SPOILERS THROUGHOUT:   The Gettaway is mostly an action movie. And what action there is to!! Shootouts, chases, dumpsters and much much more. It stars Kim Bassenger and Alec Baldwin as the Mc Coy's.  This is a remake and I have not seen the",Excluded by semantic condition.
