id,structured_match,final_match,source,cheap_score,routing_confidence_threshold
B0006I4WCI,True,True,expensive,,
B000GHY972,True,False,expensive,,
B000JNTKEK,True,True,expensive,,
B000M7MSGU,True,True,expensive,,
B001871AC6,True,True,expensive,,
B001D1IXRC,True,True,expensive,,
B001KYJ0PG,True,False,expensive,,
B002DWJ8AQ,True,True,expensive,,
B002VHJEPM,True,True,expensive,,
B003BT4MGK,True,True,expensive,,
B003DR2NRK,True,True,expensive,,
B005IZHFFK,True,True,expensive,,
B006TMIXZM,True,True,expensive,,
B0070CQDA2,True,True,expensive,,
B0096I84QE,True,True,expensive,,
B0098SIEBM,True,False,expensive,,
B00C819UWS,True,False,expensive,,
B00C872X2Q,True,True,expensive,,
B00EN89NIK,True,True,expensive,,
B00G4RF7TC,True,True,expensive,,
B00GNH60XA,True,False,expensive,,
B00GSOKR50,True,True,expensive,,
B00JEL49EY,True,True,expensive,,
B00KJNQRLY,True,True,expensive,,
B00L46T9PQ,True,True,expensive,,
B00MAY3A1U,True,True,expensive,,
B00P8F8THS,True,False,expensive,,
B00P9K7GKS,True,True,expensive,,
B00PIBPMNQ,True,False,expensive,,
B00SBC7XRM,True,True,expensive,,
B00T3XGUMC,True,True,expensive,,
B00ZCHJHG4,True,False,expensive,,
B01120IZB2,True,True,expensive,,
B012A5LKOM,True,True,expensive,,
B013HTAWGW,True,True,expensive,,
B014CUGF8E,True,False,expensive,,
B014FCPTUY,True,True,expensive,,
B014T60MBC,True,True,expensive,,
B0152DJZ50,True,True,expensive,,
B017XXWPOU,True,True,expensive,,
B019W2M4O6,True,False,expensive,,
B01BKULZFC,True,True,expensive,,
B01BTUFLKS,True,False,expensive,,
B01CARPG2W,True,True,expensive,,
B01DLX4O7C,True,False,expensive,,
B01DQH70HO,True,True,expensive,,
B01F1JJ9O2,True,False,expensive,,
B01FJSL236,True,False,expensive,,
B01H4JISB2,True,False,expensive,,
B01HG88F6Y,True,False,expensive,,
