movie_id,title,ground_truth,annotation_rationale,evidence_excerpt
tt0020643,Another Fine Mess,1,Included: structured and semantic conditions match.,"The best Laurel and Hardy shorts are filled to the brim with mishaps, accidents and destruction, mostly caused by Stan, but with Ollie receiving the bulk (!) of the punishment-- see the great 'The Music Box' (1933) or 'Towed in a Hole' (193"
tt0090767,The Boss' Wife,1,Included: structured and semantic conditions match.,"If you like occasional nudity with junior high school level slap stick comedy, then look no further.  Starting at about the halfway point, the beautiful and erotic Arielle Dombasle starts disrobing at every opportunity. That is the only thi"
tt0106997,Genghis Cohn,1,Included: structured and semantic conditions match.,Genghis Cohn is a (very) mildly entertaining British movie about a German police commissioner in the late 1950's who is haunted by the ghost of a Jewish comedian that he killed 15 years earlier while serving under Hitler in the SS. The ghos
tt0184135,The League of Gentlemen,1,Included: structured and semantic conditions match.,"The sitcom ""The league of Gentlemen"" follows the lives of several bizarre inhabitants of the fictional village ""Royston Vasey"". The different scenes are linked together by their common setting.  In the first series, a sketch show, the main "
tt0322389,George of the Jungle 2,1,Included: structured and semantic conditions match.,"There are just so many things wrong with this movie.  To begin with, the first twenty minutes of the film could have been compressed into just five or maybe ten. The overall movie is (mercifully) short already, but this could have been made"
tt0324532,When in Rome,1,Included: structured and semantic conditions match.,"I do agree with everything Calamine has said! And I don't always agree with people, but what Calamine has said is very true, it is time for the girls to move on to better roles. I would like to see them succeed very much as they were a very"
tt0342317,Eddie Izzard: Circle,1,Included: structured and semantic conditions match.,"Before I start, I _love_ Eddie Izzard. I think he's one of the funniest stand-ups around today. Possibly that means I'm going into this with too high expectations, but I just didn't find Eddie funny in this outing.  I think the main problem"
tt0365653,Dinocroc,1,Included: structured and semantic conditions match.,There are some things I can never understand. Such as this movie. What if I were to create a really really cheap and crappy looking Dino and crocodile polygon model in Maya and then proceed to cut and paste that into an amateur video clip h
tt0404325,Phil the Alien,1,Included: structured and semantic conditions match.,"Well this film has certainly had a fair amount of hype; From the buzz at the Toronto Film Festival to gushing reviews on CBC Radio. A refreshing, wacky, hilarious indie movie apparently. I'd been looking forward to it for months.  How can I"
tt0462346,How to Eat Fried Worms,1,Included: structured and semantic conditions match.,"I was bored, around 10pm, so I watched this movie. And I could not stop laughing. Everything was so ridiculous. The way the kids were acting like they were older than 11 just cracked me up. One of the kids had a ring, that supposedly killed"
tt0783489,Carlos Mencia: No Strings Attached,1,Included: structured and semantic conditions match.,"Perhaps the worst thing about Carlos Mencia's comedy is that every joke needs to be followed with an insult at the people in the crowd that aren't laughing. If there's anybody who's insecure, it's a comedian who won't shut up about his audi"
tt0821375,The Sarah Silverman Program.,1,Included: structured and semantic conditions match.,"I wouldn't be so quick to look at all the good reviews and say this might be a good show..This show is only good if you don't know what ""talent"" is..I won't even say how offensive it is (I know it can be offensive to a lot of people) becaus"
