id,structured_match,final_match,source,cheap_score,routing_confidence_threshold
B000UD028M,True,False,expensive,,
B002P6ZTQW,True,False,expensive,,
B00A00GTYQ,True,False,expensive,,
B00ADH9PWO,True,True,expensive,,
B00BS75IZG,True,False,expensive,,
B00GGFMXVC,True,False,expensive,,
B00ILTI7VQ,True,False,expensive,,
B00JFBEM04,True,False,expensive,,
B00LMB66ZO,True,False,expensive,,
B00LN6575I,True,False,expensive,,
B00MPFCBM8,True,True,expensive,,
B00MQNOS5M,True,True,expensive,,
B00MR2IOXE,True,False,expensive,,
B00N4VP84U,True,False,expensive,,
B00NPH8NFO,True,True,expensive,,
B00NZWDET4,True,False,expensive,,
B00OLOKX0S,True,False,expensive,,
B00PAMS63G,True,True,expensive,,
B00PBVVF8E,True,False,expensive,,
B00S4YRU02,True,True,expensive,,
B00T534LUS,True,False,expensive,,
B00TWAXAXS,True,False,expensive,,
B00U1S2KLI,True,True,expensive,,
B00ZLSTR5A,True,False,expensive,,
B0138QZA6Q,True,False,expensive,,
B013JAOEN6,True,False,expensive,,
B01461C4IE,True,False,expensive,,
B014D1MGJO,True,False,expensive,,
B01569TF8C,True,False,expensive,,
B01569TEYC,True,False,expensive,,
B015FOT7SG,True,True,expensive,,
B015FWF5D4,True,False,expensive,,
B015HS4TK6,True,False,expensive,,
B015XTF5U2,True,False,expensive,,
B015ZN2OL4,True,False,expensive,,
B0166IE1OK,True,False,expensive,,
B016AZOUU4,True,False,expensive,,
B016DB721E,True,False,expensive,,
B016W7V3VE,True,False,expensive,,
B01701DADU,True,False,expensive,,
B0177PFJ4C,True,False,expensive,,
B017R3HRYE,True,False,expensive,,
B018LPDWNW,True,False,expensive,,
B019491I8A,True,True,expensive,,
B019RX3WLE,True,True,expensive,,
B019XIFJBO,True,False,expensive,,
B01ANGPJYC,True,False,expensive,,
B01B5GHE2Y,True,False,expensive,,
B01BLKK0I4,True,False,expensive,,
B01HCXO14I,True,False,expensive,,
