movie_id,title,ground_truth,annotation_rationale,evidence_excerpt
tt0049223,Forbidden Planet,1,Included: structured and semantic conditions match.,"I liked how this started out, featuring some decent special-effects especially for a film 50 years old. There was some pretty impressive scenery. However, the film bogs down fairly early on with some very dumb dialog as the males all try to"
tt0087799,Night of the Comet,1,Included: structured and semantic conditions match.,This movie was bad. This movie was horrible. The acting was bad. The setting was unrealistic. The story was absurd: A comet that appears once in eons is set to appear one night. Most of the world's population decided to watch this comet. Th
tt0099856,The Invisible Maniac,1,Included: structured and semantic conditions match.,"Here's an interesting little movie that strictly gives the phrase ""low budget"" a horrible name. Our physics teacher who has about nine kids creates a strange serum that causes ""molecular reorganization"". Students are hopelessly killed from "
tt0112762,Cyber-Tracker 2,1,Included: structured and semantic conditions match.,"Years have gone by since Don Wilson used his martial arts expertise to take down a robot who was programmed to destroy him, he's also married to the blonde reporter (Stacie Foster) who led the rebellion in the first film, now a new conspira"
tt0120764,My Favorite Martian,1,Included: structured and semantic conditions match.,I saw this bomb when it hit theaters. I laughed the whole time. Why? Because the stupidity of it seemed to have made me go insane. I look back on it and realize there was not ONE funny thing in the whole movie. At leat nothing intentional.
tt0234215,The Matrix Reloaded,1,Included: structured and semantic conditions match.,"As a fan of Science-fiction movies, I have been aware of The Matrix since its release in 1999. From the little bit I would allow people to tell me about it, I assumed it was highly original and sophisticated. I am also a devotee of Alice in"
tt0255798,The Animal,1,Included: structured and semantic conditions match.,Marvin(Rob Schneider)does not have the ingredients to be a cop which is his lifelong dream. But his luck changes when he has a car crush(a very bad one)and is found by a doctor. The doctor has to use animal organs to rebuild him. After this
tt0343818,"I, Robot",1,Included: structured and semantic conditions match.,"This is probably the most boring, worse and useless film I have seen last year. The plot that was meant to have some philosophical aspects emerged to me as a very bad hollow copy of the matrix, with plenty of clichés: the lone wolf cop, goo"
tt0348150,Superman Returns,1,Included: structured and semantic conditions match.,I saw the movie last night and I really wanted to like it. My expectations for the movie had been going up and down ever since I heard it was being made. Some days I'd see something spectacular and some days I'd be disappointed.  Yet being
tt0369226,Alone in the Dark,1,Included: structured and semantic conditions match.,This movie succeeds at being one of the most unique movies you've seen. However this comes from the fact that you can't make heads or tails of this mess. It almost seems as a series of challenges set up to determine whether or not you are w
tt0445161,4,1,Included: structured and semantic conditions match.,"I saw the film at the Belgrade Film Festival last week, and I'm still working off the trauma. Essentially my view seems to match a number of others - the first half hour was fresh, sharp, deep, entertaining and promising. Well acted too. Na"
tt0457275,Altered,1,Included: structured and semantic conditions match.,"I might not have been the biggest Blair Witch fan but nonetheless appreciated that effort, so I was looking forward to Altered, especially after reading the superlatives thrown around in various IMDb comments. ""Unique"", ""intelligent"", ""A fu"
