id,structured_match,final_match,source,cheap_score,routing_confidence_threshold
B000BJ8L6A,True,False,expensive_batch,-2.0,
B001BFTSTM,True,False,calibration_expensive,-2.0,
B003E12N5W,True,False,calibration_expensive,0.0,
B008ATMIAI,True,True,expensive_batch,2.0,
B0097GRNQM,True,True,calibration_expensive,-2.0,
B009LNT620,True,False,expensive_batch,2.0,
B00C54LM06,True,False,expensive_batch,-2.0,
B00CDBVUEE,True,False,calibration_expensive,-2.0,
B00CR6WHTW,True,True,expensive_batch,2.0,
B00CZ50F3K,True,True,expensive_batch,0.0,
B00EYKPAQQ,True,False,expensive_batch,2.0,
B00GT0790O,True,False,calibration_expensive,2.0,
B00HNCXT7Y,True,False,expensive_batch,-2.0,
B00IO2BA3C,True,True,calibration_expensive,2.0,
B00IOROD5Y,True,False,expensive_batch,0.0,
B00IY7WWWA,True,False,expensive_batch,2.0,
B00JHB1PZC,True,False,expensive_batch,-2.0,
B00K5S12RW,True,False,calibration_expensive,2.0,
B00LNS4BSA,True,False,expensive_batch,2.0,
B00ME7WXR0,True,False,calibration_expensive,0.0,
B00NMYAVSC,True,False,expensive_batch,0.0,
B00O59HM3A,True,False,calibration_expensive,0.0,
B00OWK9NPM,True,False,calibration_expensive,-2.0,
B00P2AF2SS,True,False,expensive_batch,2.0,
B00RZ7UDZI,True,True,expensive_batch,0.0,
B00S7ZQR2A,True,False,expensive_batch,-2.0,
B00UG4VNME,True,True,calibration_expensive,2.0,
B00VCQ0CIQ,True,False,expensive_batch,-2.0,
B00VO0TL1O,True,True,expensive_batch,2.0,
B00W11LFGO,True,False,expensive_batch,0.0,
B00WMGXAI4,True,True,calibration_expensive,2.0,
B00XZ6VVF4,True,True,expensive_batch,2.0,
B00XZP0JQM,True,False,calibration_expensive,-2.0,
B010NSVFTS,True,False,calibration_expensive,0.0,
B013IIDPVQ,True,True,expensive_batch,-2.0,
B0140T91KQ,True,True,expensive_batch,2.0,
B014BUJABO,True,False,calibration_expensive,-2.0,
B015UPA2KC,True,False,expensive_batch,0.0,
B0168UK0DC,True,False,expensive_batch,-2.0,
B0179ABE3K,True,True,calibration_expensive,2.0,
B017WFAXU2,True,False,expensive_batch,-2.0,
B01874A1AE,True,False,expensive_batch,2.0,
B01A63NLTW,True,True,calibration_expensive,0.0,
B01BPRI44K,True,False,calibration_expensive,-2.0,
B01CRURVF2,True,False,expensive_batch,-2.0,
B01DF1B630,True,False,calibration_expensive,2.0,
B01DZ4VILM,True,True,expensive_batch,2.0,
B01EGPP1IU,True,False,expensive_batch,-2.0,
B01F8WU5AY,True,True,expensive_batch,0.0,
B01FZ76HK4,True,True,calibration_expensive,2.0,
